id,season,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,win_by_runs,win_by_wickets,dl_applied,umpire1,umpire2
1254058,Chennai,2021,09-04-2021,HV Patel,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,normal,0,2,0,KN Ananthapadmanabhan,Nitin Menon
1254059,Mumbai,2021,10-04-2021,S Dhawan,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,normal,0,7,0,AK Chaudhary,VK Sharma
1254060,Chennai,2021,11-04-2021,N Rana,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,normal,10,0,0,KN Ananthapadmanabhan,Nitin Menon
1254061,Mumbai,2021,12-04-2021,SV Samson,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,normal,4,0,0,AK Chaudhary,S Ravi
1254062,Chennai,2021,13-04-2021,RD Chahar,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,normal,10,0,0,C Shamshuddin,CB Gaffaney
1254063,Chennai,2021,14-04-2021,GJ Maxwell,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,normal,6,0,0,Nitin Menon,UV Gandhe
1254064,Mumbai,2021,15-04-2021,JD Unadkat,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,normal,0,3,0,S Ravi,VK Sharma
1254065,Mumbai,2021,16-04-2021,DL Chahar,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,normal,0,6,0,AK Chaudhary,AY Dandekar
1254066,Chennai,2021,17-04-2021,KA Pollard,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,normal,13,0,0,CB Gaffaney,K Srinivasan
1254067,Chennai,2021,18-04-2021,AB de Villiers,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,normal,38,0,0,C Shamshuddin,Nitin Menon
1254068,Mumbai,2021,18-04-2021,S Dhawan,"Wankhede Stadium, Mumbai",Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,normal,0,6,0,AK Chaudhary,PR Reiffel
1254069,Mumbai,2021,19-04-2021,MM Ali,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,normal,45,0,0,PR Reiffel,VK Sharma
1254070,Chennai,2021,20-04-2021,A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,normal,0,6,0,C Shamshuddin,CB Gaffaney
1254071,Chennai,2021,21-04-2021,JM Bairstow,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,normal,0,9,0,K Srinivasan,Nitin Menon
1254072,Mumbai,2021,21-04-2021,F du Plessis,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,normal,18,0,0,AY Dandekar,PR Reiffel
1254073,Mumbai,2021,22-04-2021,D Padikkal,"Wankhede Stadium, Mumbai",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,normal,0,10,0,J Madanagopal,S Ravi
1254074,Chennai,2021,23-04-2021,KL Rahul,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,normal,0,9,0,C Shamshuddin,Nitin Menon
1254075,Mumbai,2021,24-04-2021,CH Morris,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,normal,0,6,0,Navdeep Singh,S Ravi
1254076,Mumbai,2021,25-04-2021,RA Jadeja,"Wankhede Stadium, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,normal,69,0,0,AK Chaudhary,VK Sharma
1254077,Chennai,2021,25-04-2021,PP Shaw,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,tie,0,0,0,CB Gaffaney,KN Ananthapadmanabhan
1254078,Ahmedabad,2021,26-04-2021,EJG Morgan,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,normal,0,5,0,PR Reiffel,YC Barde
